volatile_acidity,citric_acid,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0.7,0.0,0.076,34.0,0.9978,3.51,0.56,9.4,5
0.88,0.0,0.098,67.0,0.9968,3.2,0.68,9.8,5
0.76,0.04,0.092,54.0,0.997,3.26,0.65,9.8,5
0.28,0.56,0.075,60.0,0.998,3.16,0.58,9.8,6
0.7,0.0,0.076,34.0,0.9978,3.51,0.56,9.4,5
0.66,0.0,0.075,40.0,0.9978,3.51,0.56,9.4,5
0.6,0.06,0.069,59.0,0.9964,3.3,0.46,9.4,5
0.65,0.0,0.065,21.0,0.9946,3.39,0.47,10.0,7
0.58,0.02,0.073,18.0,0.9968,3.36,0.57,9.5,7
0.5,0.36,0.071,102.0,0.9978,3.35,0.8,10.5,5
0.58,0.08,0.097,65.0,0.9959,3.28,0.54,9.2,5
0.5,0.36,0.071,102.0,0.9978,3.35,0.8,10.5,5
0.615,0.0,0.089,59.0,0.9943,3.58,0.52,9.9,5
0.61,0.29,0.114,29.0,0.9974,3.26,1.56,9.1,5
0.62,0.18,0.176,145.0,0.9986,3.16,0.88,9.2,5
0.62,0.19,0.17,148.0,0.9986,3.17,0.93,9.2,5
0.28,0.56,0.092,103.0,0.9969,3.3,0.75,10.5,7
0.56,0.28,0.368,56.0,0.9968,3.11,1.28,9.3,5
0.59,0.08,0.086,29.0,0.9974,3.38,0.5,9.0,4
0.32,0.51,0.341,56.0,0.9969,3.04,1.08,9.2,6
0.22,0.48,0.077,60.0,0.9968,3.39,0.53,9.4,6
0.39,0.31,0.082,71.0,0.9982,3.52,0.65,9.7,5
0.43,0.21,0.106,37.0,0.9966,3.17,0.91,9.5,5
0.49,0.11,0.084,67.0,0.9968,3.17,0.53,9.4,5
0.4,0.14,0.085,40.0,0.9968,3.43,0.63,9.7,6
0.39,0.16,0.08,23.0,0.9955,3.34,0.56,9.3,5
0.41,0.24,0.08,11.0,0.9962,3.28,0.59,9.5,5
0.43,0.21,0.106,37.0,0.9966,3.17,0.91,9.5,5
0.71,0.0,0.08,35.0,0.9972,3.47,0.55,9.4,5
0.645,0.0,0.082,16.0,0.9964,3.38,0.59,9.8,6
0.675,0.07,0.089,82.0,0.9958,3.35,0.54,10.1,5
